번호,종목코드,종목명,현재가,전일대비,공시일,지정일,해제일
89,012600,청호컴넷,"9,210",150,2020/08/10,2020/08/11,2020/08/28
88,096775,SK이노베이션우,"133,500",-500,2020/08/10,2020/08/11,2020/08/26
87,019170,신풍제약,"119,000","5,500",2020/08/06,2020/08/07,2020/08/24
86,007575,일양약품우,"76,400",0,2020/08/05,2020/08/06,2020/08/21
85,000910,유니온,"5,840",110,2020/07/29,2020/07/30,2020/08/13
84,285130,SK케미칼,"376,500","-2,500",2020/07/27,2020/07/28,2020/08/13
83,004985,성신양회우,"11,600",500,2020/07/27,2020/07/28,2020/08/11
82,000227,유유제약2우B,"32,950",50,2020/07/24,2020/07/27,2020/08/18
81,006125,SK디스커버리우,"55,600",-200,2020/07/24,2020/07/27,2020/08/14
80,000225,유유제약1우,"14,000",0,2020/07/24,2020/07/27,2020/08/10
79,001065,JW중외제약우,"39,300",-500,2020/07/23,2020/07/24,2020/08/10
78,002720,국제약품,"10,150",-300,2020/07/23,2020/07/24,2020/08/07
77,034020,두산중공업,"13,350",250,2020/07/23,2020/07/24,2020/08/07
76,28513K,SK케미칼우,"173,000","1,000",2020/07/23,2020/07/24,2020/07/28
75,019175,신풍제약우,"121,500","14,500",2020/07/20,2020/07/21,2020/08/11
74,093240,형지엘리트,"3,250",45,2020/07/20,2020/07/21,2020/08/04
73,144620,코오롱머티리얼,"3,200",45,2020/07/16,2020/07/17,2020/07/31
72,005257,녹십자홀딩스2우,"100,500","-12,500",2020/07/16,2020/07/17,2020/07/24
71,001745,SK네트웍스우,"100,000","-1,000",2020/07/15,2020/07/16,2020/07/30
70,019170,신풍제약,"119,000","5,500",2020/07/13,2020/07/14,2020/07/23
69,009835,한화솔루션우,"61,000","-1,400",2020/07/10,2020/07/13,2020/07/27
68,001380,SG충방,"2,075",-20,2020/07/08,2020/07/09,2020/07/23
67,007575,일양약품우,"76,400",0,2020/07/03,2020/07/06,2020/07/22
66,037270,YG PLUS,"4,375",10,2020/07/02,2020/07/03,2020/07/17
65,010145,삼성중공우,"356,000","-1,000",2020/07/02,2020/07/03,2020/07/17
64,28513K,SK케미칼우,"173,000","1,000",2020/06/26,2020/06/29,2020/07/13
63,001745,SK네트웍스우,"100,000","-1,000",2020/06/26,2020/06/29,2020/07/01
62,336260,두산퓨얼셀,"52,400","-2,600",2020/06/25,2020/06/26,2020/07/10
61,003620,쌍용차,"2,770",00,2020/06/23,2020/06/24,2020/07/08
60,000725,현대건설우,"173,000",-500,2020/06/22,2020/06/23,2020/07/08
59,000950,전방,"29,700",450,2020/06/22,2020/06/23,2020/07/07
58,008355,남선알미우,"44,500",200,2020/06/18,2020/06/19,2020/07/08
57,001065,JW중외제약우,"39,300",-500,2020/06/18,2020/06/19,2020/07/03
56,003925,남양유업우,"135,000",0,2020/06/18,2020/06/19,2020/07/03
55,000157,두산2우B,"67,200",-900,2020/06/18,2020/06/19,2020/07/03
54,001515,SK증권우,"5,200",30,2020/06/17,2020/06/18,2020/07/08
53,03473K,SK우,"242,000","3,000",2020/06/16,2020/06/17,2020/07/03
52,33626K,두산퓨얼셀1우,"13,850",250,2020/06/12,2020/06/15,2020/07/02
51,33626L,두산퓨얼셀2우B,"19,150",-100,2020/06/12,2020/06/15,2020/06/29
50,009835,한화솔루션우,"61,000","-1,400",2020/06/11,2020/06/12,2020/06/29
49,000885,한화우,"44,050",850,2020/06/11,2020/06/12,2020/06/29
48,016385,KG동부제철우,"116,500","3,500",2020/06/11,2020/06/12,2020/06/26
47,001745,SK네트웍스우,"100,000","-1,000",2020/06/10,2020/06/11,2020/06/25
46,007570,일양약품,"63,500",-200,2020/06/09,2020/06/10,2020/06/24
45,004565,현대비앤지스틸우,"63,300","-1,300",2020/06/09,2020/06/10,2020/06/24
44,007575,일양약품우,"76,400",0,2020/06/08,2020/06/09,2020/06/19
43,003415,쌍용양회우,-,-,2020/06/04,2020/06/05,2020/06/22
42,010145,삼성중공우,"356,000","-1,000",2020/06/04,2020/06/05,2020/06/12
41,336260,두산퓨얼셀,"52,400","-2,600",2020/05/28,2020/05/29,2020/06/16
40,009190,대양금속,"3,770",85,2020/05/22,2020/05/25,2020/06/08
39,000910,유니온,"5,840",110,2020/05/22,2020/05/25,2020/06/08
38,005320,국동,"3,640",-120,2020/05/13,2020/05/14,2020/05/28
37,163560,동일고무벨트,"9,740",-20,2020/05/08,2020/05/11,2020/05/26
36,001200,유진투자증권,"3,930",-20,2020/05/07,2020/05/08,2020/05/22
35,019175,신풍제약우,"121,500","14,500",2020/05/06,2020/05/07,2020/05/21
34,099340,하나니켈1호,-,-,2020/04/27,2020/04/28,2020/05/15
33,019170,신풍제약,"119,000","5,500",2020/04/24,2020/04/27,2020/05/18
32,016380,KG동부제철,"11,250",600,2020/04/20,2020/04/21,2020/05/08
31,005690,파미셀,"17,150",400,2020/04/20,2020/04/21,2020/05/08
30,002020,코오롱,"21,800",300,2020/04/16,2020/04/17,2020/05/06
29,004060,SG세계물산,602,1,2020/04/13,2020/04/14,2020/04/29
28,33637K,두산솔루스1우,"16,200",-850,2020/04/13,2020/04/14,2020/04/29
27,007860,서연,"9,930",610,2020/04/10,2020/04/13,2020/04/28
26,020120,키다리스튜디오,"9,350",540,2020/04/10,2020/04/13,2020/04/28
25,000370,한화손해보험,"3,705",-5,2020/04/10,2020/04/13,2020/04/28
24,019175,신풍제약우,"121,500","14,500",2020/04/07,2020/04/08,2020/04/23
23,001550,조비,"17,900",50,2020/04/06,2020/04/07,2020/04/22
22,011000,진원생명과학,"21,600","1,100",2020/04/01,2020/04/02,2020/04/17
21,044380,주연테크,"1,065",0,2020/03/31,2020/04/01,2020/05/12
20,100220,비상교육,"6,630",-20,2020/03/31,2020/04/01,2020/04/16
19,033270,유나이티드제약,"62,300","-2,500",2020/03/30,2020/03/31,2020/04/14
18,005690,파미셀,"17,150",400,2020/03/27,2020/03/30,2020/04/13
17,000547,흥국화재2우B,"20,450",-350,2020/03/27,2020/03/30,2020/04/13
16,019170,신풍제약,"119,000","5,500",2020/03/27,2020/03/30,2020/04/09
15,005320,국동,"3,640",-120,2020/03/06,2020/03/09,2020/03/23
14,099350,하나니켈2호,-,-,2020/03/04,2020/03/05,2020/03/19
13,099340,하나니켈1호,-,-,2020/03/03,2020/03/04,2020/03/23
12,011000,진원생명과학,"21,600","1,100",2020/02/24,2020/02/25,2020/03/11
11,023150,MH에탄올,"8,530",120,2020/02/24,2020/02/25,2020/03/10
10,019175,신풍제약우,"121,500","14,500",2020/02/10,2020/02/11,2020/02/27
9,004835,덕성우,"13,700",300,2020/02/06,2020/02/07,2020/02/27
8,012690,모나리자,"5,020",-60,2020/01/31,2020/02/03,2020/02/17
7,308170,센트랄모텍,"25,200","-1,050",2020/01/30,2020/01/31,2020/02/14
6,011000,진원생명과학,"21,600","1,100",2020/01/23,2020/01/28,2020/02/11
5,014530,극동유화,"3,600",30,2020/01/08,2020/01/09,2020/01/23
4,308170,센트랄모텍,"25,200","-1,050",2020/01/06,2020/01/07,2020/01/28
3,18064K,한진칼우,"44,900",-400,2019/12/30,2020/01/02,2020/01/17
2,002410,범양건영,"4,800",10,2019/12/24,2019/12/26,2020/01/16
1,044380,주연테크,"1,065",0,2019/12/20,2019/12/23,2020/01/09
103,246690,티에스인베스트먼트,"3,390",30,2016/12/27,2016/12/28,2017/01/16
102,51170,썬코어,-,-,2016/12/23,2016/12/26,2017/01/10
101,51780,큐로홀딩스,626,-6,2016/12/21,2016/12/22,2017/01/10
100,134580,디엠티,"2,580",150,2016/12/14,2016/12/15,2016/12/29
99,104040,대성파인텍,"1,980",-280,2016/12/13,2016/12/14,2016/12/28
98,37230,한국팩키지,"6,960",-200,2016/12/07,2016/12/08,2016/12/23
97,204840,지엘팜텍,"1,355",0,2016/12/05,2016/12/06,2016/12/20
96,224060,코디엠,450,-14,2016/12/02,2016/12/05,2016/12/20
95,86830,신양오라컴,-,-,2016/12/02,2016/12/05,2016/12/19
94,95300,엔에스브이,-,-,2016/11/28,2016/11/29,2016/12/13
93,208140,정다운,"2,625",-50,2016/11/24,2016/11/25,2016/12/12
92,109960,로코조이,731,-15,2016/11/10,2016/11/11,2016/11/25
91,950140,잉글우드랩(Reg.S),"5,000",105,2016/10/27,2016/10/28,2016/11/11
90,49120,파인디앤씨,"1,735",15,2016/10/07,2016/10/10,2016/10/24
89,225530,보광산업,"5,580",-50,2016/10/06,2016/10/07,2016/10/21
88,37460,삼지전자,"11,900",100,2016/10/06,2016/10/07,2016/10/21
87,73010,케이에스피,"1,470",-30,2016/10/04,2016/10/05,2016/10/19
86,67630,에이치엘비생명과학,"26,450",150,2016/09/27,2016/09/28,2016/10/14
85,17510,세명전기,"4,040",0,2016/09/22,2016/09/23,2016/10/10
84,3310,대주산업,"2,075",20,2016/09/20,2016/09/21,2016/10/06
83,109610,에스와이패널,"4,705",-40,2016/09/19,2016/09/20,2016/10/11
82,49120,파인디앤씨,"1,735",15,2016/09/19,2016/09/20,2016/10/06
